Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
11/20,17/20,11900,1190000,126.18594694137573,4404.626126050949,157.81544822454453,478.26433850824833,0.98,0.98,0.01,-872.68
11/20,18/20,11950,1195000,129.64113092422485,4408.931339025497,155.67729753255844,481.5483651012182,0.93,0.93,0.07,-798.6
11/20,19/20,12000,1200000,129.89575481414795,4396.243611574173,155.23129434883595,471.430690407753,1.0,1.0,0.01,-896.48
12/20,0/20,12050,1205000,127.60684394836426,4350.966121196747,160.18875932693481,466.8497733473778,0.99,0.99,0.07,-864.55
12/20,1/20,12100,1210000,126.65007138252258,4330.720325469971,161.4654370099306,472.1136783659458,0.99,0.99,0.02,-856.77
12/20,2/20,12150,1215000,127.53600263595581,4281.747202634811,158.11955530941486,480.47525322437286,0.99,0.99,0.06,-886.56
12/20,3/20,12200,1220000,128.5092043876648,4263.3302319049835,157.50348369777203,460.5686172246933,0.99,0.99,0.05,-859.1
12/20,4/20,12250,1225000,129.73714017868042,4244.691877603531,158.34217563271523,465.1356848478317,0.96,0.96,0.21,-903.85
12/20,5/20,12300,1230000,129.8621950149536,4233.342534780502,156.73392383754253,505.3573524206877,1.0,1.0,0.06,-875.69
12/20,6/20,12350,1235000,127.01056146621704,4244.081264972687,156.85697722434998,476.68085703253746,0.99,0.99,0.4,-907.28
12/20,7/20,12400,1240000,130.31753277778625,4228.690267086029,160.61961242556572,452.99034281075,1.0,1.0,0.2,-752.84
12/20,8/20,12450,1245000,131.14923238754272,4243.457168102264,158.49370515346527,469.8239744454622,1.0,1.0,0.95,-752.76
12/20,9/20,12500,1250000,127.59417486190796,4232.744496107101,158.2522239536047,519.3473461121321,0.93,0.93,0.02,-818.63
12/20,10/20,12550,1255000,130.59436702728271,4254.08756685257,158.09000073373318,471.5634959936142,0.95,0.95,0.05,-834.64
12/20,11/20,12600,1260000,132.72154664993286,4266.870374202728,157.1397261172533,467.85697305202484,0.95,0.95,0.08,-824.02
12/20,12/20,12650,1265000,133.2022683620453,4240.606557369232,155.27998134493828,508.2927796840668,0.97,0.97,0.03,-634.7
12/20,13/20,12700,1270000,130.4945011138916,4252.763772726059,157.41225504130125,511.08399599790573,0.89,0.89,0.34,-787.95
12/20,14/20,12750,1275000,131.21872973442078,4256.511566877365,155.67042957246304,482.3528645783663,1.0,1.0,0.47,-843.8
12/20,15/20,12800,1280000,131.08934473991394,4229.776473283768,155.40353402495384,488.8344456553459,0.99,0.99,0.43,-551.26
12/20,16/20,12850,1285000,131.31434416770935,4178.785631656647,156.1308338791132,509.8416645079851,0.97,0.97,0.44,-836.21
12/20,17/20,12900,1290000,131.1542456150055,4149.181050777435,156.96724353730679,434.2354643344879,0.99,0.99,0.0,-759.8
12/20,18/20,12950,1295000,134.94238376617432,4118.245043754578,158.88131757080555,476.48766438663006,1.0,1.0,0.04,-537.09
12/20,19/20,13000,1300000,132.7609543800354,4123.041361570358,158.40936361253262,497.6458097398281,0.98,0.98,0.02,-693.0
13/20,0/20,13050,1305000,134.31732749938965,4105.845663070679,155.92744395136833,438.3340499550104,0.96,0.96,0.05,-759.57
13/20,1/20,13100,1310000,131.4323763847351,4133.078597545624,156.96509724855423,477.7043557614088,0.95,0.95,0.26,-780.43
13/20,2/20,13150,1315000,130.43383884429932,4099.183320760727,159.07453987002373,499.46612161397934,0.93,0.93,0.06,-694.08
13/20,3/20,13200,1320000,129.86897134780884,4101.493587732315,158.85574778914452,479.12017522752285,0.94,0.94,0.04,-781.87
13/20,4/20,13250,1325000,133.45389580726624,4103.129394292831,156.37988637387753,486.9418484866619,0.99,0.99,0.02,-800.29
13/20,5/20,13300,1330000,132.40135526657104,4096.715049743652,156.9569383263588,485.8709026277065,0.9,0.9,0.06,-626.15
13/20,6/20,13350,1335000,136.40030479431152,4078.5083150863647,158.1996482461691,464.14056620001793,0.99,0.99,0.0,-464.74
13/20,7/20,13400,1340000,135.5728883743286,4076.226709842682,158.40483117103577,499.21746748685837,0.99,0.99,0.03,-722.22
