Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
2/20,17/20,2900,290000,38.66061043739319,3450.3086359500885,123.56118667125702,1203.8868044540286,0.75,0.75,3.32,-264.13
2/20,18/20,2950,295000,37.73243260383606,3418.1830331087112,125.39076424390078,1131.2544349133968,0.72,0.72,4.07,-278.4
2/20,19/20,3000,300000,38.27078127861023,3417.744305729866,125.4492993876338,1001.2635952159762,0.79,0.79,4.02,-249.35
3/20,0/20,3050,305000,39.230998039245605,3396.486397266388,127.25907924026251,1052.7152629718184,0.85,0.85,2.99,-153.98
3/20,1/20,3100,310000,37.807213306427,3399.62881398201,121.39222982525826,980.8727786764503,0.82,0.82,3.46,-190.85
3/20,2/20,3150,315000,37.043110609054565,3386.5768715143204,121.71251012384892,884.5541678443551,0.77,0.77,3.31,-233.25
3/20,3/20,3200,320000,37.30544972419739,3408.256533384323,122.65771781653166,983.4794839918613,0.79,0.79,3.1,-210.15
3/20,4/20,3250,325000,37.43587374687195,3416.2425303459167,119.90572975575924,951.2455645874143,0.82,0.82,2.54,-181.3
3/20,5/20,3300,330000,37.527408599853516,3400.220571756363,122.51013516634703,1102.3834706693888,0.83,0.83,3.09,-174.74
3/20,6/20,3350,335000,38.661590576171875,3377.5242009162903,121.62177968770266,982.5053840875626,0.87,0.87,3.0,-136.33
3/20,7/20,3400,340000,37.77172636985779,3392.8948328495026,119.41633311659098,980.2322861477733,0.89,0.89,2.65,-119.52
3/20,8/20,3450,345000,37.20590257644653,3446.5789706707,120.36978992074728,1177.256070688367,0.81,0.81,3.48,-193.5
3/20,9/20,3500,350000,37.67009210586548,3403.341349363327,118.41492515802383,1028.9759657382965,0.87,0.87,2.6,-134.75
3/20,10/20,3550,355000,37.6704158782959,3430.946721315384,115.6350529640913,1074.2898909375072,0.86,0.86,2.77,-148.25
3/20,11/20,3600,360000,37.66223978996277,3434.2940011024475,119.06945347040892,1101.1850109547377,0.83,0.83,3.18,-180.25
3/20,12/20,3650,365000,38.177040576934814,3470.056174516678,116.29746624827385,1169.072395503521,0.89,0.89,2.89,-126.75
3/20,13/20,3700,370000,37.4572172164917,3488.613615989685,116.56062967330217,1135.2195826545358,0.85,0.85,3.2,-164.13
3/20,14/20,3750,375000,37.34676718711853,3443.583116173744,121.26896480470896,1102.086193844676,0.89,0.89,2.96,-130.82
3/20,15/20,3800,380000,37.67744970321655,3419.5774538517,119.0096976608038,1131.6594725176692,0.82,0.82,3.26,-196.99
3/20,16/20,3850,385000,37.74682402610779,3459.2311177253723,120.16019021719694,1049.1085979044437,0.86,0.86,2.79,-164.21
3/20,17/20,3900,390000,37.6630437374115,3439.8808851242065,118.88943722099066,1008.8427978903055,0.8,0.8,3.48,-196.33
3/20,18/20,3950,395000,37.58621597290039,3432.857165813446,117.50368413329124,1079.709380172193,0.83,0.83,3.25,-175.63
3/20,19/20,4000,400000,37.551812410354614,3412.440379858017,116.76870958507061,1131.6825919821858,0.9,0.9,2.57,-111.48
