Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
4/20,7/20,4400,440000,88.56761980056763,6067.1137590408325,168.8413161635399,677.5248284637928,0.49,0.49,1.49,-687.93
4/20,8/20,4450,445000,90.07741975784302,6064.528482437134,172.42894646525383,649.3126182705164,0.81,0.81,1.74,-435.46
4/20,9/20,4500,450000,88.84609770774841,6032.777872562408,170.88960845768452,681.2725292444229,0.54,0.54,0.52,-604.6
4/20,10/20,4550,455000,90.62485551834106,6059.895872592926,171.09107026457787,711.978886038065,0.54,0.54,0.52,-520.55
4/20,11/20,4600,460000,88.00220656394958,6114.092156410217,170.42717933654785,673.1831488311291,0.54,0.54,1.53,-696.94
4/20,12/20,4650,465000,87.8090968132019,6090.308710575104,171.49980720877647,669.2837617397308,0.52,0.52,1.66,-685.86
4/20,13/20,4700,470000,89.28431010246277,6097.403592586517,170.2809601277113,668.4959037303925,0.39,0.39,2.02,-665.22
4/20,14/20,4750,475000,87.4738986492157,6147.479199409485,174.01467816531658,686.7847598195076,0.27,0.27,1.51,-777.61
4/20,15/20,4800,480000,85.83236360549927,6146.682464599609,171.6195209622383,671.4864873290062,0.45,0.45,1.08,-807.69
4/20,16/20,4850,485000,86.87162327766418,6133.582149982452,174.35129529237747,700.9282598495483,0.48,0.48,1.57,-729.36
4/20,17/20,4900,490000,86.09268045425415,6140.667045593262,174.09861412644386,685.3889451622963,0.56,0.56,1.82,-839.29
4/20,18/20,4950,495000,86.3268518447876,6173.93333864212,173.51783649623394,733.0974192619324,0.56,0.56,1.98,-798.46
4/20,19/20,5000,500000,85.51783680915833,6187.5083022117615,171.85852394998074,717.0012095570564,0.55,0.55,2.01,-906.76
5/20,0/20,5050,505000,84.66378235816956,6176.241018295288,174.81646443903446,695.46986541152,0.58,0.58,1.84,-885.42
5/20,1/20,5100,510000,85.49193024635315,6169.185925960541,174.3280457109213,677.7748027443886,0.63,0.63,2.47,-888.18
5/20,2/20,5150,515000,84.44247937202454,6230.709648609161,177.43109652400017,739.8365579843521,0.62,0.62,2.22,-897.99
5/20,3/20,5200,520000,84.78141927719116,6196.340167999268,175.10228438675404,714.3706642687321,0.69,0.69,1.62,-852.91
5/20,4/20,5250,525000,84.98074316978455,6240.808043003082,174.69760908186436,696.4054026454687,0.52,0.52,1.37,-910.57
5/20,5/20,5300,530000,86.20174884796143,6281.229141235352,175.52630959451199,672.5814777910709,0.65,0.65,0.94,-893.13
5/20,6/20,5350,535000,88.19240069389343,6281.5603885650635,175.21715280413628,695.7194533348083,0.68,0.68,1.43,-859.15
5/20,7/20,5400,540000,86.58532214164734,6337.5264682769775,175.34390507638454,692.2000712156296,0.52,0.52,2.33,-911.92
5/20,8/20,5450,545000,86.31170344352722,6228.416761875153,176.2798282057047,687.7545235455036,0.51,0.51,1.41,-912.02
5/20,9/20,5500,550000,85.89051389694214,6206.857812404633,170.93792855739594,718.9122116565704,0.62,0.62,2.52,-909.28
5/20,10/20,5550,555000,85.76582288742065,6272.93336725235,173.1325710862875,679.9242219775915,0.61,0.61,1.15,-920.66
5/20,11/20,5600,560000,86.51133131980896,6338.253287792206,171.42859080433846,672.8549174666405,0.34,0.34,1.86,-905.54
5/20,12/20,5650,565000,86.37405514717102,6341.695365428925,172.72752884030342,672.65510186553,0.43,0.43,2.62,-895.15
5/20,13/20,5700,570000,85.7893579006195,6352.061764240265,171.11299891769886,671.8314098119736,0.59,0.59,0.85,-883.31
5/20,14/20,5750,575000,86.71356868743896,6452.830250740051,173.14110976457596,691.1897892355919,0.57,0.57,1.41,-819.16
5/20,15/20,5800,580000,86.00345969200134,6483.492578983307,170.77910239994526,650.9780267775059,0.57,0.57,3.1,-895.09
5/20,16/20,5850,585000,85.69611239433289,6519.913973331451,170.91876743733883,655.7439568787813,0.64,0.64,1.82,-922.48
5/20,17/20,5900,590000,85.3263144493103,6563.195240974426,167.39697532355785,708.5595427453518,0.58,0.58,3.01,-886.62
5/20,18/20,5950,595000,85.78501915931702,6515.780024051666,166.985915645957,644.1370810717344,0.72,0.72,1.94,-913.4
5/20,19/20,6000,600000,85.6271460056305,6531.73495721817,167.28872187435627,660.1605620831251,0.55,0.55,0.72,-913.05
6/20,0/20,6050,605000,85.43198370933533,6482.30473613739,169.7848600447178,681.599586546421,0.82,0.82,0.73,-937.22
6/20,1/20,6100,610000,85.77597880363464,6505.844512939453,167.99849458038807,630.3311881572008,0.65,0.65,2.35,-910.26
6/20,2/20,6150,615000,85.00256037712097,6449.887535572052,168.9838789254427,628.2208445221186,0.5,0.5,1.32,-931.99
